ID,e_city_id,s_city_id,NOMBORIGEN,EMP07_1,EMP07_2,EMP07_3,EMP07_4,EMP07_5,EMP07_6,EMP07_7,EMP07_8,EMP07_9,EMP07_10,TOTAL_PERSONAS,s_lon,s_lat,e_lon,e_lat,Region_origen,Region_destino,Flujo_Migratorio
845,10201,10101,10101. Dpto. Amazonas   Prov. Chachapoyas   Dist. Chachapoyas,-,11,6,3,8,3,5,9,15,8,68,-77.85649173,-6.24773573,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
900,10201,60401,60401. Dpto. Cajamarca   Prov. Chota   Dist. Chota,-,-,-,1,4,14,1,3,37,2,62,-78.64262591,-6.56002952,-78.52098269,-5.58091287,SIERRA,SELVA,SIERRA-SELVA
1669,10307,10101,10101. Dpto. Amazonas   Prov. Chachapoyas   Dist. Chachapoyas,-,12,4,-,7,6,1,5,9,4,48,-77.85649173,-6.24773573,-78.02343195,-5.94537414,SIERRA,SELVA,SIERRA-SELVA
1837,10312,60417,60417. Dpto. Cajamarca   Prov. Chota   Dist. Tacabamba,-,-,-,-,-,16,-,-,21,1,38,-78.55611135,-6.39870169,-77.8605491,-5.52432941,SIERRA,SELVA,SIERRA-SELVA
2846,10601,10101,10101. Dpto. Amazonas   Prov. Chachapoyas   Dist. Chachapoyas,-,7,5,2,9,8,14,5,15,1,66,-77.85649173,-6.24773573,-77.43895768,-6.37280618,SIERRA,SELVA,SIERRA-SELVA
3160,10609,10101,10101. Dpto. Amazonas   Prov. Chachapoyas   Dist. Chachapoyas,-,13,1,2,1,6,1,-,14,1,39,-77.85649173,-6.24773573,-77.3544311,-6.40540732,SIERRA,SELVA,SIERRA-SELVA
3390,10701,60401,60401. Dpto. Cajamarca   Prov. Chota   Dist. Chota,-,-,-,-,4,10,3,3,19,1,40,-78.64262591,-6.56002952,-78.4399999,-5.83884181,SIERRA,SELVA,SIERRA-SELVA
3409,10701,10101,10101. Dpto. Amazonas   Prov. Chachapoyas   Dist. Chachapoyas,-,11,2,8,7,3,3,7,5,2,48,-77.85649173,-6.24773573,-78.4399999,-5.83884181,SIERRA,SELVA,SIERRA-SELVA
30271,50407,50101,50101. Dpto. Ayacucho   Prov. Huamanga   Dist. Ayacucho,3,23,7,2,9,19,1,4,17,-,85,-74.25197809,-13.13475583,-73.99644832,-12.60382287,SIERRA,SELVA,SIERRA-SELVA
30288,50407,50401,50401. Dpto. Ayacucho   Prov. Huanta   Dist. Huanta,-,54,1,4,10,44,6,8,72,1,200,-74.2114593,-12.9120375,-73.99644832,-12.60382287,SIERRA,SELVA,SIERRA-SELVA
